Cases_per_100000,Week 25,Week 34,Week 40,Week 43,Week 46,Week 49,Week 50,Week 51,Week 52,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7
Duitsland,4.6,12,12,88,170,162,188,220,178,154,180,149,120,97,82,62
Frankrijk,4.8,34,115,379,307,127,110,146,136,138,186,160,243,242,180,137
Spanje ,5,92,156,233,276,120,98,141,104,175,260,429,526,518,423,243
Italie,2.4,8.6,25,177,386,228,182,174,150,171,192,166,136,137,133,135
VK,13,11.2,65,259,273,164,195,295,383,565,644,499,388,262,198,143
Nederland,4.6,23.5,159,364,220,226,328,441,424,337,301,231,211,172,159,137
Belgie,4.5,30.4,117,803,322,135,139,154,124,97,118,126,127,139,139,115
,,,,,,,,,,,,,,,,
Californie,64,114,51,76,137,344,545,736,662,648,775,731,489,368,196,181
USA,55,92,87,149,315,416,443,479,407,431,523,481,374,324,252,197